DateTime,H2O_in(mmol/mol),H2O_out(mmol/mol)
2025/02/01 01:56:38,9.588,-9999
2025/02/01 01:58:54,-9999,9.919
2025/02/01 03:56:37,11.14,-9999
2025/02/01 03:58:53,-9999,11.33
2025/02/01 05:56:37,13.05,-9999
2025/02/01 05:58:53,-9999,12.95
2025/02/01 07:56:37,12.76,-9999
2025/02/01 07:58:53,-9999,13.1
2025/02/01 09:56:37,13.76,-9999
2025/02/01 09:58:53,-9999,13.65
2025/02/01 11:56:37,14.37,-9999
2025/02/01 11:58:53,-9999,14.68
2025/02/01 13:56:37,16.62,-9999
2025/02/01 13:58:53,-9999,16.72
2025/02/01 15:56:37,16.92,-9999
2025/02/01 15:58:53,-9999,17.13
2025/02/01 17:56:37,4.149,-9999
2025/02/01 17:58:53,-9999,3.412
2025/02/01 19:56:37,19.25,-9999
2025/02/01 19:58:53,-9999,19.05
2025/02/01 21:56:37,14.34,-9999
2025/02/01 21:58:53,-9999,14.13
2025/02/01 23:56:37,11.35,-9999
2025/02/01 23:58:53,-9999,11.34
2025/02/02 01:56:37,10.28,-9999
2025/02/02 01:58:53,-9999,10.54
2025/02/02 03:56:37,12.16,-9999
2025/02/02 03:58:53,-9999,12.36
2025/02/02 05:56:37,12.97,-9999
2025/02/02 05:58:53,-9999,12.9
2025/02/02 07:56:37,13.3,-9999
2025/02/02 07:58:53,-9999,13.2
2025/02/02 09:56:38,14.19,-9999
2025/02/02 09:58:53,-9999,14.4
2025/02/02 11:56:37,15.93,-9999
2025/02/02 11:58:53,-9999,15.92
2025/02/02 13:56:37,17.17,-9999
2025/02/02 13:58:53,-9999,17.67
2025/02/02 15:56:37,18.2,-9999
2025/02/02 15:58:53,-9999,18.52
2025/02/02 17:56:38,19.58,-9999
2025/02/02 17:58:53,-9999,20.29
2025/02/02 19:56:38,16.42,-9999
2025/02/02 19:58:53,-9999,16.61
2025/02/02 21:56:38,12.48,-9999
2025/02/02 21:58:53,-9999,12.53
