DateTime,RH_1m[%],RH_3m[%],RH_7m[%],RH_13m[%]
2025/02/01 00:00, 56.722903, 49.549688, 45.798708, 50.236765
2025/02/01 00:15, 56.27581, 49.668036, 45.647486, 50.368263
2025/02/01 00:30, 56.535518, 49.599, 45.660636, 50.098692
2025/02/01 00:45, 56.068701, 49.977057, 45.558725, 49.898158
2025/02/01 01:00, 56.170612, 49.513526, 45.542287, 49.944182
2025/02/01 01:15, 56.459907, 49.875146, 45.157656, 50.207178
2025/02/01 01:30, 56.203486, 49.119032, 45.17738, 49.914595
2025/02/01 01:45, 55.822142, 48.701526, 45.325316, 49.838984
2025/02/01 02:00, 55.973365, 49.217656, 45.200393, 49.694336
2025/02/01 02:15, 55.762968, 49.352441, 44.348943, 49.885008
2025/02/01 02:30, 55.802417, 48.806725, 44.779599, 49.769947
2025/02/01 02:45, 57.42313, 49.194644, 44.891372, 49.855421
2025/02/01 03:00, 55.684069, 48.418806, 45.045882, 49.825834
2025/02/01 03:15, 56.223211, 49.224231, 44.832198, 49.523389
2025/02/01 03:30, 55.572296, 48.507567, 44.628376, 49.138757
2025/02/01 03:45, 55.273138, 48.195259, 44.539615, 49.224231
2025/02/01 04:00, 55.552571, 48.681802, 44.510028, 49.536538
2025/02/01 04:15, 54.944393, 48.152522, 44.605364, 49.345866
2025/02/01 04:30, 55.624895, 48.550304, 44.7007, 49.128895
2025/02/01 04:45, 55.148215, 47.991437, 44.112247, 48.934935
2025/02/01 05:00, 55.020004, 47.715291, 43.895275, 49.046709
2025/02/01 05:15, 54.309915, 47.915826, 44.131972, 48.987534
2025/02/01 05:30, 55.112053, 48.251146, 44.260182, 48.767275
2025/02/01 05:45, 55.756393, 47.557494, 43.691453, 48.540441
2025/02/01 06:00, 54.707697, 47.425996, 43.967599, 48.770563
2025/02/01 06:15, 54.911518, 47.373397, 43.550093, 48.678514
2025/02/01 06:30, 54.618935, 47.287923, 43.885413, 48.80015
2025/02/01 06:45, 55.207389, 47.702142, 44.74015, 49.197931
2025/02/01 07:00, 54.681397, 48.320182, 45.801996, 49.773235
2025/02/01 07:15, 55.661057, 48.29717, 45.282579, 49.694336
2025/02/01 07:30, 55.319162, 48.537154, 45.236555, 49.743648
2025/02/01 07:45, 55.700506, 48.915211, 45.417364, 49.806109
2025/02/01 08:00, 55.628182, 50.042806, 46.804668, 50.512911
2025/02/01 08:15, 54.737284, 49.710773, 48.8133, 50.996166
2025/02/01 08:30, 55.943778, 51.203275, 50.394563, 52.893024
2025/02/01 08:45, 57.337656, 52.462369, 52.455794, 54.033769
2025/02/01 09:00, 58.271292, 53.419016, 53.054109, 54.904944
2025/02/01 09:15, 58.912344, 53.682012, 52.955486, 55.352037
2025/02/01 09:30, 58.767697, 54.099518, 53.047535, 56.808377
2025/02/01 09:45, 58.41594, 53.741186, 54.563049, 58.110207
2025/02/01 10:00, 59.254239, 54.921381, 54.704409, 58.484976
2025/02/01 10:15, 59.155616, 54.48415, 55.108765, 59.379162
2025/02/01 10:30, 60.776328, 54.296765, 56.025964, 59.402174
2025/02/01 10:45, 62.015697, 55.43751, 56.147599, 61.045899
2025/02/01 11:00, 61.598191, 56.693316, 56.9333, 57.340944
2025/02/01 11:15, 63.409575, 55.220539, 56.43032, 59.714482
2025/02/01 11:30, 63.836944, 55.578871, 57.22917, 57.594077
2025/02/01 11:45, 65.700928, 55.414498, 57.143697, 60.135276
2025/02/01 12:00, 65.56943, 55.753106, 57.216021, 58.455389
2025/02/01 12:15, 67.048782, 55.697219, 56.943162, 58.682223
2025/02/01 12:30, 67.919956, 56.768927, 57.768312, 55.881316
2025/02/01 12:45, 67.65696, 56.042401, 57.715713, 57.10096
2025/02/01 13:00, 67.83777, 56.696604, 58.38964, 59.980766
2025/02/01 13:15, 67.841057, 56.420458, 57.548053, 58.136506
2025/02/01 13:30, 64.895503, 56.620992, 58.146369, 58.754547
2025/02/01 13:45, 63.955292, 56.505931, 57.705851, 57.534903
2025/02/01 14:00, 62.794822, 57.39683, 57.985284, 55.506547
2025/02/01 14:15, 62.794822, 56.801802, 62.95262, 57.42313
2025/02/01 14:30, 66.769349, 61.614628, 62.801397, 65.217673
2025/02/01 14:45, 65.934337, 60.746741, 62.012409, 63.373413
2025/02/01 15:00, 65.37547, 61.022887, 62.275405, 67.459713
2025/02/01 15:15, 65.783114, 59.520523, 62.397041, 69.146175
2025/02/01 15:30, 66.085559, 59.573122, 62.183357, 71.430952
2025/02/01 15:45, 65.894887, 60.128701, 62.206369, 70.822774
2025/02/01 16:00, 66.651001, 61.042612, 62.235956, 69.93845
2025/02/01 16:15, 65.796264, 60.487033, 61.236571, 68.044879
2025/02/01 16:30, 64.918515, 59.208215, 60.83879, 66.236782
2025/02/01 16:45, 68.715519, 63.580523, 62.627162, 59.892004
2025/02/01 17:00, 72.436912, 65.184798, 63.241915, 60.483745
2025/02/01 17:15, 72.157479, 64.524021, 63.445737, 64.737705
2025/02/01 17:30, 70.069948, 63.961867, 63.149867, 61.802013
2025/02/01 17:45, 69.665592, 63.771195, 63.320814, 62.699486
2025/02/01 18:00, 69.234936, 63.10713, 62.147195, 65.105899
