DateTime,Temp_1m[degC],Temp_3m[degC],Temp_7m[degC],Temp_13m[degC]
2025/02/01 00:00, 28.074466, 28.837155, 30.135697, 28.99824
2025/02/01 00:15, 28.077754, 28.787843, 30.076523, 29.063989
2025/02/01 00:30, 28.268426, 28.702369, 29.968037, 29.422321
2025/02/01 00:45, 28.087616, 28.666207, 29.974612, 29.382871
2025/02/01 01:00, 27.97913, 28.712231, 30.050223, 29.133025
2025/02/01 01:15, 28.196102, 28.593883, 30.115972, 29.12645
2025/02/01 01:30, 28.120491, 28.827292, 30.129122, 29.083713
2025/02/01 01:45, 28.14679, 28.666207, 29.945025, 29.017964
2025/02/01 02:00, 28.209252, 28.932491, 29.968037, 28.98509
2025/02/01 02:15, 27.988993, 28.692507, 30.161997, 29.067276
2025/02/01 02:30, 28.130353, 28.929203, 30.283632, 29.218499
2025/02/01 02:45, 28.031729, 28.702369, 30.148847, 29.248086
2025/02/01 03:00, 28.150078, 29.011389, 30.418418, 29.254661
2025/02/01 03:15, 28.136928, 29.014677, 30.115972, 29.336847
2025/02/01 03:30, 28.409786, 28.988377, 30.339519, 29.284248
2025/02/01 03:45, 28.271713, 29.080426, 30.355956, 29.432183
2025/02/01 04:00, 28.350612, 28.935778, 30.352669, 29.333559
2025/02/01 04:15, 28.123778, 29.156037, 30.283632, 29.428895
2025/02/01 04:30, 28.399924, 29.034401, 30.326369, 29.244798
2025/02/01 04:45, 28.360474, 28.899616, 30.161997, 29.540669
2025/02/01 05:00, 28.3013, 28.893041, 30.684701, 29.198774
2025/02/01 05:15, 28.143503, 29.011389, 30.050223, 29.363146
2025/02/01 05:30, 28.3276, 29.10015, 30.250758, 29.241511
2025/02/01 05:45, 28.376912, 29.129738, 30.40198, 29.317122
2025/02/01 06:00, 28.166515, 29.080426, 30.155422, 29.432183
2025/02/01 06:15, 28.472248, 29.034401, 30.306644, 29.346709
2025/02/01 06:30, 28.353899, 29.149462, 30.500604, 29.271098
2025/02/01 06:45, 28.330887, 28.893041, 29.991049, 29.179049
2025/02/01 07:00, 28.113916, 28.860167, 29.806952, 28.991665
2025/02/01 07:15, 28.163227, 28.557721, 29.465057, 28.669495
2025/02/01 07:30, 27.795033, 28.360474, 29.399308, 28.639908
2025/02/01 07:45, 27.558337, 28.202677, 29.037689, 28.353899
2025/02/01 08:00, 27.578061, 28.242126, 29.116588, 28.373624
2025/02/01 08:15, 27.403827, 27.5156, 27.712847, 27.933106
2025/02/01 08:30, 27.009333, 27.292053, 27.722709, 27.637235
2025/02/01 08:45, 26.979746, 27.239454, 27.630661, 27.877219
2025/02/01 09:00, 27.114531, 27.403827, 27.788458, 28.163227
2025/02/01 09:15, 27.637235, 28.012005, 28.590596, 28.603746
2025/02/01 09:30, 28.347325, 28.577446, 29.011389, 29.123163
2025/02/01 09:45, 28.919341, 29.110013, 29.563681, 29.698466
2025/02/01 10:00, 29.504507, 29.665592, 29.908863, 30.296782
2025/02/01 10:15, 29.872701, 30.188296, 30.411843, 31.043033
2025/02/01 10:30, 30.339519, 30.464442, 30.612377, 31.858321
2025/02/01 10:45, 30.148847, 30.757025, 31.043033, 32.571697
2025/02/01 11:00, 30.362531, 31.089057, 31.289592, 33.456021
2025/02/01 11:15, 30.648539, 31.58875, 31.526288, 34.498143
