DateTime,CO2_in_ppm,CO2_out_ppm
2025-02-01 01:56:38,449.3,
2025-02-01 01:58:54,,449.8
2025-02-01 03:56:37,448.7,
2025-02-01 03:58:53,,448.4
2025-02-01 05:56:37,449.3,
2025-02-01 05:58:53,,449.6
2025-02-01 07:56:37,449.2,
2025-02-01 07:58:53,,449.7
2025-02-01 09:56:37,447.2,
2025-02-01 09:58:53,,446.9
2025-02-01 11:56:37,444.8,
2025-02-01 11:58:53,,445.4
2025-02-01 13:56:37,445.2,
2025-02-01 13:58:53,,445.2
2025-02-01 15:56:37,446.3,
2025-02-01 15:58:53,,446.3
2025-02-01 17:56:37,451.5,
2025-02-01 17:58:53,,452.0
2025-02-01 19:56:37,447.4,
2025-02-01 19:58:53,,447.3
2025-02-01 21:56:37,449.9,
2025-02-01 21:58:53,,450.0
2025-02-01 23:56:37,449.2,
2025-02-01 23:58:53,,448.8
2025-02-02 01:56:37,449.3,
2025-02-02 01:58:53,,449.9
2025-02-02 03:56:37,448.2,
2025-02-02 03:58:53,,448.1
2025-02-02 05:56:37,447.1,
2025-02-02 05:58:53,,447.1
2025-02-02 07:56:37,447.6,
2025-02-02 07:58:53,,447.4
2025-02-02 09:56:38,446.1,
2025-02-02 09:58:53,,446.0
2025-02-02 11:56:37,446.1,
2025-02-02 11:58:53,,446.1
2025-02-02 13:56:37,446.5,
2025-02-02 13:58:53,,447.0
2025-02-02 15:56:37,447.0,
2025-02-02 15:58:53,,447.3
2025-02-02 17:56:38,447.0,
2025-02-02 17:58:53,,446.8
2025-02-02 19:56:38,448.0,
2025-02-02 19:58:53,,448.3
2025-02-02 21:56:38,448.2,
2025-02-02 21:58:53,,447.8
2025-02-02 23:56:37,448.0,
2025-02-02 23:58:53,,448.0
2025-02-03 01:56:38,446.8,
2025-02-03 01:58:53,,447.3
2025-02-03 03:56:37,447.0,
2025-02-03 03:58:53,,447.6
2025-02-03 05:56:37,446.4,
2025-02-03 05:58:53,,446.4
2025-02-03 07:56:37,446.1,
2025-02-03 07:58:53,,446.5
2025-02-03 09:56:38,445.5,
2025-02-03 09:58:54,,445.2
2025-02-03 11:56:38,447.4,
2025-02-03 11:58:53,,447.1
2025-02-03 13:56:38,448.6,
2025-02-03 13:58:53,,448.1
2025-02-03 15:56:37,447.0,
2025-02-03 15:58:53,,447.3
2025-02-03 17:56:38,444.7,
2025-02-03 17:58:53,,444.7
2025-02-03 19:56:38,445.1,
2025-02-03 19:58:53,,445.5
2025-02-03 21:56:38,445.0,
2025-02-03 21:58:54,,445.3
2025-02-03 23:56:38,446.6,
2025-02-03 23:58:53,,446.6
2025-02-04 01:56:38,448.4,
2025-02-04 01:58:54,,448.9
2025-02-04 03:56:38,448.5,
2025-02-04 03:58:53,,448.4
2025-02-04 05:56:38,446.9,
2025-02-04 05:58:53,,447.0
2025-02-04 07:56:37,446.3,
2025-02-04 07:58:53,,446.3
2025-02-04 09:56:37,449.6,
2025-02-04 09:58:53,,450.2
2025-02-04 11:56:38,447.7,
2025-02-04 11:58:53,,448.2
2025-02-04 13:56:37,446.2,
2025-02-04 13:58:53,,446.8
2025-02-04 15:56:37,445.8,
2025-02-04 15:58:53,,446.3
2025-02-04 17:56:37,444.8,
2025-02-04 17:58:53,,444.9
2025-02-04 19:56:37,444.7,
2025-02-04 19:58:53,,444.8
2025-02-04 21:56:37,446.2,
2025-02-04 21:58:53,,445.2
2025-02-04 23:56:38,449.6,
2025-02-04 23:58:53,,449.1
2025-02-05 01:56:38,449.1,
2025-02-05 01:58:53,,449.5
2025-02-05 03:56:37,447.3,
2025-02-05 03:58:53,,447.2
2025-02-05 05:56:37,447.3,
2025-02-05 05:58:53,,446.9
2025-02-05 07:56:37,446.3,
2025-02-05 07:58:53,,446.2
2025-02-05 09:56:38,445.5,
2025-02-05 09:58:53,,446.1
2025-02-05 11:56:37,446.1,
2025-02-05 11:58:53,,446.7
2025-02-05 13:56:37,446.3,
2025-02-05 13:58:53,,446.8
2025-02-05 15:56:38,446.3,
2025-02-05 15:58:53,,446.7
2025-02-05 17:56:37,445.3,
2025-02-05 17:58:53,,446.0
2025-02-05 19:56:37,446.4,
2025-02-05 19:58:53,,446.2
2025-02-05 21:56:38,446.9,
2025-02-05 21:58:53,,446.8
2025-02-05 23:56:37,446.8,
2025-02-05 23:58:53,,446.8
2025-02-06 01:56:38,445.4,
2025-02-06 01:58:53,,446.0
2025-02-06 03:56:37,445.8,
2025-02-06 03:58:53,,446.1
2025-02-06 05:56:37,445.0,
2025-02-06 05:58:53,,445.7
2025-02-06 07:56:38,445.4,
2025-02-06 07:58:54,,445.6
2025-02-06 09:56:38,444.7,
2025-02-06 09:58:53,,445.4
2025-02-06 11:56:37,445.2,
2025-02-06 11:58:53,,445.8
2025-02-06 13:56:37,448.7,
2025-02-06 13:58:53,,448.8
2025-02-06 15:56:38,449.8,
2025-02-06 15:58:53,,450.1
2025-02-06 17:56:38,447.3,
2025-02-06 17:58:53,,447.8
2025-02-06 19:56:38,445.8,
2025-02-06 19:58:53,,446.4
2025-02-06 21:56:37,448.2,
2025-02-06 21:58:53,,448.3
2025-02-06 23:56:37,448.7,
2025-02-06 23:58:53,,448.8
2025-02-07 01:56:38,447.3,
2025-02-07 01:58:53,,447.6
2025-02-07 03:56:37,447.9,
2025-02-07 03:58:53,,448.1
2025-02-07 05:56:37,446.2,
2025-02-07 05:58:53,,446.5
2025-02-07 07:56:37,445.8,
2025-02-07 07:58:53,,446.1
2025-02-07 09:56:37,445.7,
2025-02-07 09:58:53,,446.0
2025-02-07 11:56:37,445.2,
2025-02-07 11:58:53,,445.7
2025-02-07 13:56:37,446.0,
2025-02-07 13:58:53,,446.0
2025-02-07 15:56:38,445.5,
2025-02-07 15:58:53,,446.1
2025-02-07 17:56:37,445.5,
2025-02-07 17:58:53,,445.7
2025-02-07 19:56:38,447.5,
2025-02-07 19:58:53,,447.7
2025-02-07 21:56:37,448.0,
