datetime,h2o_in(mmol/mol),h2o_out(mmol/mol)
2025-02-01 01:56:38,9.588,
2025-02-01 01:58:54,,9.919
2025-02-01 03:56:37,11.14,
2025-02-01 03:58:53,,11.33
2025-02-01 05:56:37,13.05,
2025-02-01 05:58:53,,12.95
2025-02-01 07:56:37,12.76,
2025-02-01 07:58:53,,13.1
2025-02-01 09:56:37,13.76,
2025-02-01 09:58:53,,13.65
2025-02-01 11:56:37,14.37,
2025-02-01 11:58:53,,14.68
2025-02-01 13:56:37,16.62,
2025-02-01 13:58:53,,16.72
2025-02-01 15:56:37,16.92,
2025-02-01 15:58:53,,17.13
2025-02-01 17:56:37,4.149,
2025-02-01 17:58:53,,3.412
2025-02-01 19:56:37,19.25,
2025-02-01 19:58:53,,19.05
2025-02-01 21:56:37,14.34,
2025-02-01 21:58:53,,14.13
2025-02-01 23:56:37,11.35,
2025-02-01 23:58:53,,11.34
2025-02-02 01:56:37,10.28,
2025-02-02 01:58:53,,10.54
2025-02-02 03:56:37,12.16,
2025-02-02 03:58:53,,12.36
2025-02-02 05:56:37,12.97,
2025-02-02 05:58:53,,12.9
2025-02-02 07:56:37,13.3,
2025-02-02 07:58:53,,13.2
2025-02-02 09:56:38,14.19,
2025-02-02 09:58:53,,14.4
2025-02-02 11:56:37,15.93,
2025-02-02 11:58:53,,15.92
2025-02-02 13:56:37,17.17,
2025-02-02 13:58:53,,17.67
2025-02-02 15:56:37,18.2,
2025-02-02 15:58:53,,18.52
2025-02-02 17:56:38,19.58,
2025-02-02 17:58:53,,20.29
2025-02-02 19:56:38,16.42,
2025-02-02 19:58:53,,16.61
2025-02-02 21:56:38,12.48,
2025-02-02 21:58:53,,12.53
2025-02-02 23:56:37,10.99,
2025-02-02 23:58:53,,10.98
2025-02-03 01:56:38,11.52,
2025-02-03 01:58:53,,11.87
2025-02-03 03:56:37,10.62,
2025-02-03 03:58:53,,10.8
2025-02-03 05:56:37,10.68,
2025-02-03 05:58:53,,10.82
2025-02-03 07:56:37,12.17,
2025-02-03 07:58:53,,12.42
2025-02-03 09:56:38,12.77,
2025-02-03 09:58:54,,12.76
2025-02-03 11:56:38,14.82,
2025-02-03 11:58:53,,14.68
2025-02-03 13:56:38,14.84,
2025-02-03 13:58:53,,15.17
2025-02-03 15:56:37,16.26,
2025-02-03 15:58:53,,16.55
2025-02-03 17:56:38,16.02,
2025-02-03 17:58:53,,16.02
2025-02-03 19:56:38,14.81,
2025-02-03 19:58:53,,14.74
2025-02-03 21:56:38,12.87,
2025-02-03 21:58:54,,13.01
2025-02-03 23:56:38,11.99,
2025-02-03 23:58:53,,12.11
2025-02-04 01:56:38,11.48,
2025-02-04 01:58:54,,11.68
2025-02-04 03:56:38,11.09,
2025-02-04 03:58:53,,11.0
2025-02-04 05:56:38,10.62,
2025-02-04 05:58:53,,10.72
2025-02-04 07:56:37,10.42,
2025-02-04 07:58:53,,10.37
2025-02-04 09:56:37,12.21,
2025-02-04 09:58:53,,12.14
2025-02-04 11:56:38,14.66,
2025-02-04 11:58:53,,14.95
2025-02-04 13:56:37,14.38,
2025-02-04 13:58:53,,14.59
2025-02-04 15:56:37,14.34,
2025-02-04 15:58:53,,14.83
2025-02-04 17:56:37,12.7,
2025-02-04 17:58:53,,12.71
2025-02-04 19:56:37,11.21,
2025-02-04 19:58:53,,11.26
2025-02-04 21:56:37,10.85,
2025-02-04 21:58:53,,10.16
2025-02-04 23:56:38,9.655,
2025-02-04 23:58:53,,9.783
2025-02-05 01:56:38,9.36,
2025-02-05 01:58:53,,9.315
2025-02-05 03:56:37,9.221,
2025-02-05 03:58:53,,9.197
2025-02-05 05:56:37,9.083,
2025-02-05 05:58:53,,9.233
2025-02-05 07:56:37,8.749,
2025-02-05 07:58:53,,8.706
2025-02-05 09:56:38,9.443,
2025-02-05 09:58:53,,9.774
2025-02-05 11:56:37,11.37,
2025-02-05 11:58:53,,11.74
2025-02-05 13:56:37,12.59,
2025-02-05 13:58:53,,13.02
2025-02-05 15:56:38,13.22,
2025-02-05 15:58:53,,12.81
2025-02-05 17:56:37,11.87,
2025-02-05 17:58:53,,11.84
2025-02-05 19:56:37,11.19,
2025-02-05 19:58:53,,11.12
