datetime,globalrad_1m[w/m^2],globalrad_3m[w/m^2],globalrad_7m[w/m^2],globalrad_13m[w/m^2]
2025-02-01 00:00:00,-5.197448,-5.526193,-5.197448,-5.197448
2025-02-01 00:15:00,-5.36182,-5.033075,-5.526193,-5.526193
2025-02-01 00:30:00,-5.526193,-5.526193,-5.197448,-5.197448
2025-02-01 00:45:00,-5.690565,-5.033075,-5.36182,-5.690565
2025-02-01 01:00:00,-5.197448,-5.197448,-5.36182,-5.526193
2025-02-01 01:15:00,-5.526193,-5.690565,-5.36182,-5.197448
2025-02-01 01:30:00,-5.197448,-5.197448,-5.197448,-5.033075
2025-02-01 01:45:00,-5.197448,-5.526193,-5.36182,-5.197448
2025-02-01 02:00:00,-5.36182,-5.36182,-5.36182,-5.36182
2025-02-01 02:15:00,-5.36182,-5.033075,-5.197448,-5.526193
2025-02-01 02:30:00,-5.36182,-5.033075,-5.526193,-5.526193
2025-02-01 02:45:00,-5.526193,-5.36182,-5.36182,-5.197448
2025-02-01 03:00:00,-5.36182,-5.526193,-5.36182,-5.526193
2025-02-01 03:15:00,-5.197448,-5.033075,-5.197448,-5.197448
2025-02-01 03:30:00,-5.36182,-5.36182,-5.197448,-5.197448
2025-02-01 03:45:00,-5.197448,-5.033075,-5.197448,-5.526193
2025-02-01 04:00:00,-5.197448,-5.36182,-5.36182,-5.36182
2025-02-01 04:15:00,-5.36182,-5.197448,-5.36182,-5.36182
2025-02-01 04:30:00,-5.033075,-5.36182,-5.197448,-5.526193
2025-02-01 04:45:00,-5.36182,-5.197448,-5.197448,-5.690565
2025-02-01 05:00:00,-5.197448,-5.033075,-5.36182,-5.526193
2025-02-01 05:15:00,-5.033075,-5.197448,-5.36182,-5.526193
2025-02-01 05:30:00,-5.526193,-5.36182,-5.526193,-5.36182
2025-02-01 05:45:00,-5.36182,-5.526193,-5.526193,-5.36182
2025-02-01 06:00:00,-5.197448,-5.36182,-5.526193,-5.197448
2025-02-01 06:15:00,-5.36182,-5.197448,-5.526193,-5.197448
2025-02-01 06:30:00,-5.526193,-5.36182,-5.36182,-5.526193
2025-02-01 06:45:00,-5.36182,-5.36182,-5.526193,-5.36182
2025-02-01 07:00:00,-5.36182,-5.033075,-5.197448,-5.36182
2025-02-01 07:15:00,-5.36182,-4.868703,-4.539958,-4.211213
2025-02-01 07:30:00,-4.539958,-3.38935,-2.238743,-0.923763
