datetime,shortradin[w/m^2],shortradout[w/m^2],longradin[w/m^2],longradout[w/m^2],pyrgeotemp[degk]
2025-02-01 00:00:00,1.963098,-0.714476,-7.218682,-24.25198,146.06387500000002
2025-02-01 00:15:00,1.643524,-1.072856,-7.325968,-24.138988,146.07392277777777
2025-02-01 00:30:00,2.167397,-0.628876,-7.126234,-24.338721,146.09543055555554
2025-02-01 00:45:00,1.724559,-1.021496,-7.709457,-25.039502,146.129545
2025-02-01 01:00:00,1.868367,-0.859426,-7.578203,-25.093144,146.111635
2025-02-01 01:15:00,2.216474,-0.756706,-7.292869,-24.580685,146.07296333333332
2025-02-01 01:30:00,1.474606,-1.128781,-7.210693,-24.49166,146.07818722222223
2025-02-01 01:45:00,1.37531,-1.393571,-7.395589,-24.503074,146.06363555555555
2025-02-01 02:00:00,1.689177,-1.054594,-7.321402,-24.032843,146.09252555555557
2025-02-01 02:15:00,1.64923,-0.950733,-7.103407,-23.651637,146.1091827777778
2025-02-01 02:30:00,1.972229,-0.822903,-6.933348,-23.345759,146.12783944444445
2025-02-01 02:45:00,1.577326,-0.943885,-7.060036,-23.56033,146.15998222222223
2025-02-01 03:00:00,1.481454,-1.296558,-7.386458,-23.902731,146.21304888888892
2025-02-01 03:15:00,1.734831,-0.788663,-7.525701,-24.288502,146.2272283333333
2025-02-01 03:30:00,1.508846,-1.158456,-7.745979,-24.648023,146.25214944444446
2025-02-01 03:45:00,2.037285,-0.771543,-7.538256,-24.378668,146.23919611111108
2025-02-01 04:00:00,1.982501,-0.672247,-7.879515,-24.402636,146.27011444444443
2025-02-01 04:15:00,1.976794,-0.790946,-7.897777,-24.468833,146.26982166666667
2025-02-01 04:30:00,1.530532,-1.01693,-7.813318,-24.524759,146.25326944444444
2025-02-01 04:45:00,1.523683,-1.179,-7.876091,-24.522476,146.2659033333333
2025-02-01 05:00:00,1.785049,-0.959864,-7.860113,-24.616066,146.25692055555555
2025-02-01 05:15:00,1.515694,-1.408409,-7.654672,-24.630903,146.25023055555553
2025-02-01 05:30:00,1.715428,-1.120792,-7.84071,-24.924226,146.25393555555559
2025-02-01 05:45:00,1.3502,-1.570478,-8.055281,-25.126243,146.26744944444442
2025-02-01 06:00:00,1.947119,-0.921058,-8.213927,-25.145646,146.2991411111111
2025-02-01 06:15:00,1.856954,-0.826327,-7.811035,-24.77357,146.27893722222223
2025-02-01 06:30:00,1.789615,-1.000952,-7.880657,-24.665143,146.29293055555556
2025-02-01 06:45:00,1.124216,-1.503139,-8.668179,-24.661719,146.2320261111111
2025-02-01 07:00:00,0.853719,-1.629828,-8.548339,-24.769005,146.08178499999997
2025-02-01 07:15:00,1.158456,-0.551265,-8.348605,-25.272334,145.97795333333332
2025-02-01 07:30:00,1.910596,3.021116,-8.387411,-24.756451,145.86154944444445
2025-02-01 07:45:00,2.996007,10.310829,-8.552904,-24.597805,145.79338388888888
2025-02-01 08:00:00,4.932854,19.775928,-9.250261,-24.035127,145.7652977777778
2025-02-01 08:15:00,5.106337,30.315024,-9.628043,-22.722591,145.448305
2025-02-01 08:30:00,7.674343,39.010863,-8.310942,-20.25274,145.24362166666666
2025-02-01 08:45:00,10.395288,49.741703,-7.841853,-18.339861,145.26344166666667
2025-02-01 09:00:00,12.39605,60.262538,-7.40358,-16.546822,145.36824555555555
2025-02-01 09:15:00,12.892531,72.067376,-7.462929,-14.735522,145.59412500000002
2025-02-01 09:30:00,15.1558,79.206432,-7.659238,-12.543015,145.88276166666668
2025-02-01 09:45:00,14.855629,87.550739,-8.653341,-11.123192,146.22355
2025-02-01 10:00:00,15.683097,94.849582,-9.224009,-9.434015,146.52652
2025-02-01 10:15:00,15.559833,150.599278,-10.727148,-7.298574,146.88211777777778
2025-02-01 10:30:00,14.806551,208.281255,-14.572307,-7.74826,147.48218722222222
2025-02-01 10:45:00,17.151997,163.857036,-15.350698,-6.661708,147.70995055555557
2025-02-01 11:00:00,18.350399,238.51981,-15.893974,-4.817308,147.89044166666665
2025-02-01 11:15:00,18.381215,173.181751,-17.390265,-3.637167,148.1620927777778
2025-02-01 11:30:00,19.231511,267.782522,-17.230478,-0.450557,148.23933666666665
2025-02-01 11:45:00,20.331759,213.882932,-18.059087,1.379005,148.43765222222223
2025-02-01 12:00:00,20.64905,165.983345,-18.102458,3.070465,148.53388222222222
2025-02-01 12:15:00,22.378174,159.837251,-17.74522,6.122398,148.57869
2025-02-01 12:30:00,20.733509,157.3674,-17.454179,8.430179,148.56758777777776
2025-02-01 12:45:00,19.257761,211.260142,-18.735899,8.762308,148.73145499999998
2025-02-01 13:00:00,16.632689,192.400707,-21.233142,9.004272,148.97608166666666
2025-02-01 13:15:00,16.319963,267.287182,-21.5219,8.42219,149.0227688888889
